,words,outcome
1423,nook,1
859,fuckinright,1
178,style doggy,1
888,bitch,1
433,asspuppies,1
186,jala,1
277,Qutagimny ye,1
81,suka,1
495,spreadeagle,1
118,hitlerism,1
599,white power,1
642,uk,1
97,bla,1
1567,coloured,1
849,mggor,1
530,shithapens,1
841,assholes,1
1466,hostage,1
164,ОСТОХУЕТЬ,1
147,НЕХУЙ,1
366,slutwhore,1
41,ВЫЕБОН,1
1278,beastial,1
174,amlariga eshshe siksin,1
14,sikvordilar,1
486,vorarephilia,1
1566,sperm,1
203,bi-sexual,1
174,crackwhore,1
808,beastality,1
120,triplex,1
283,slut,1
952,illegal,1
581,seppo,1
285,ХУЕДИН,1
1334,buttfucker,1
1480,hottotrot,1
610,ontherag,1
275,trailertrash,1
330,"ЕБАЛЬНИК РАЗИНУЛ (раскрыл, распахнул)",1
1041,loverocket,1
1138,farty ,1
485,suckmytit,1
1556,niggers,1
856,dickwad,1
1067,pooperscooper,1
112,ЗАПИЗДИТЬ,1
137,НАЕБНУТЬ,1
182,xuy,1
252,РАСПИЗДОН,1
253,РАСПИЗДОШИЛ (-ла; -ть),1
582,sexually,1
286,wank,1
141,tashag'kalla,1
925,skankfuck,1
163,nooner,1
1314,pu55i,1
278,ХУЕВ,1
101,eva elfie,1
4,БЛЯДИСТОСТЬ,1
1427,fatso,1
889,fingerfuckers,1
224,Ko't,1
786,fuckhead,1
165,xaromxorlar,1
457,jack off,1
1037,spic,1
529,suckoff,1
230,jism,1
432,bastard ,1
1133,scissoring,1
121,"КОЗЛОЁБ (козоёб, коноёб, свиноёб, ослоёб)",1
212,ПИЗДУЙ,1
44,ВЫПИЗДИТЬ,1
1056,sniggering,1
715,darkie,1
324,dumb,1
478,bullcrap,1
374,sandnigger,1
116,junbosh,1
1311,pussypounder,1
288,ХУЕМЫРЛО,1
1014,chinaman,1
297,cocktail,1
45,onayni skey,1
239,make me come,1
99,hentai,1
251,РАЗЁБАННЫЙ,1
281,giant cock,1
354,boobies,1
1533,stroke,1
838,goatse,1
31,fohshalar,1
1073,gay sex,1
1143,shite,1
1068,bi,1
108,ЗАЁБАННЫЙ,1
1134,sodomise,1
124,asian,1
26,yibanla,1
185,clogwog,1
126,КОСОЁБИТСЯ,1
893,lovepistol,1
1091,domination,1
862,niggle,1
733,male squirting,1
948,arab,1
1251,slutwear,1
1561,coprophilia,1
65,piss,1
1249,blow,1
353,teat,1
96,blyaa,1
930,cockblock,1
1271,sextoys,1
1584,nignog,1
1114,fingerfuck ,1
979,fag,1
56,ДОЁБЫВАТЬ,1
49,scag,1
906,russkie,1
386,ТЯНУТЬ ЗА ХУЙ,1
932,horniest,1
926,condom,1
1322,piece of shit,1
219,bugger,1
248,ПРОПИЗДИТЬ,1
1241,datnigga,1
100,eva elif,1
23,jiggabo,1
575,chin,1
1064,bigbutt,1
907,fight,1
212,lovemaking,1
1372,niger,1
54,jossa,1
39,ВЫЕБАТЬ,1
929,shithouse,1
727,pommy,1
204,blyaa,1
222,ПОДЗАЕБАТЬ,1
193,ПИЗДИТЬ,1
1475,pros,1
98,ЁБС (еблысь),1
238,ПОХУЯРИЛИ,1
1578,heeb,1
1192,prick,1
205,ПИЗДОПЛЯСКА,1
106,amyaloq,1
1075,reject,1
360,twinkie,1
1017,masturbating,1
351,bisexual,1
672,skankwhore,1
397,ХУЙ ЗАБИТЬ,1
210,lesbo,1
913,shaved beaver,1
2,БЛЯДИАДА,1
1269,pearlnecklace,1
299,hymen,1
306,slime,1
990,puke,1
605,jesus,1
700,orgy,1
3,БЛЯДИНА,1
255,otti qotag'i,1
903,lugan,1
1559,hussy,1
1127,mothafuckin,1
962,buttman,1
13,narcotic,1
1211,fuuck,1
514,lsd,1
409,strapon,1
83,ЕБЁТ,1
396,ХУЙ ЕГО ЗНАЕТ,1
1612,transsexual,1
611,henhouse,1
1599,sniggers,1
630,shibari,1
