,words,outcome
1123,abbo,1.0
3430,eat,0.0
2610,fetish,1.0
3223,waysted,1.0
3799,onag'ar,1.0
1406,ПРОПИЗДИТЬ,1.0
3753,onayni emmagur,1.0
4083,bird,0.0
2940,consist,0.0
964,dickbrain,1.0
3164,hunasa,1.0
3729,poorwhitetrash,1.0
1666,transgenders,1.0
194,vagina,1.0
450,creative,0.0
1929,fuck,1.0
865,zayebal,1.0
3159,ВПИЗДИТЬ,1.0
1370,ТРЕПЕЗДОН,1.0
29,breastman,1.0
3615,vibr,1.0
2522,ЕБАНУТЫЙ,1.0
3685,receive,0.0
3033,pocketpool,1.0
2441,literally,0.0
2053,heterosexual,1.0
1110,lokomobilchi,0.0
3280,edelveys,0.0
3944,union,0.0
1281,essentially,0.0
4019,nigre,1.0
293,single,0.0
1264,wtf,1.0
2796,ebulioskopiya,0.0
3508,botinkasiz,0.0
222,shemale,1.0
2972,efficient,0.0
3125,chair,0.0
573,fly,0.0
1272,virtue,0.0
3758,tit,1.0
812,seks,1.0
4230,ball sack,1.0
1850,zaybalslar,1.0
1557,pray,0.0
418,gabrlar,0.0
3490,crack,1.0
80,nawashi,1.0
257,xaromilar,1.0
295,visible,0.0
4138,growing,0.0
1228,felching,1.0
1885,knobbing,1.0
1532,pee-pee,1.0
1298,Manjalaqi,1.0
1321,not,0.0
3453,pecker,1.0
1149,pansies,1.0
1788,ПОПИЗДЕТЬ,1.0
3388,huysos,1.0
3983,hussy,1.0
3554,proceed,0.0
376,sog‘ish,0.0
712,comment,0.0
3173,scissoring,1.0
3783,deputy,0.0
3502,chin,1.0
2864,dope,1.0
1859,died,1.0
842,substance,0.0
3070,select,0.0
449,occupy,0.0
3066,fast,0.0
2536,israeli,1.0
3344,latin,1.0
1552,fabrikachi,0.0
1818,ХУЕСОС,1.0
654,tatbiq,0.0
2282,salad,0.0
1616,schlong,1.0
3851,cash,0.0
736,ЁБАНЫЙ,1.0
1609,xunas,1.0
3001,ПОХУЮ (-й),1.0
2587,pizdyukcha,1.0
411,build,0.0
2759,lemon party,1.0
1795,shoot,1.0
1242,samckdaddy,1.0
1450,gubba,1.0
2653,camwhore,1.0
1344,НЕ ЕБЁТ (ниипёт),1.0
1876,big tits,1.0
2254,sleezebag,1.0
657,domination,1.0
2594,kike,1.0
3732,splittail,1.0
2473,mayor,0.0
3837,slimeball,1.0
3858,eight,0.0
430,relationship,0.0
3997,flower,0.0
3023,afraid,0.0
4153,fuckinright,1.0
1907,ХУЕПЛЁТ,1.0
152,liquor,1.0
1780,niggarded,1.0
1971,gangbanged ,1.0
3260,boob,1.0
102,tashaqbosh,1.0
3949,year,0.0
2247,match,0.0
1222,qotaq,1.0
239,jabraoyoqlilar,0.0
1393,slopey,1.0
1074,controversial,0.0
108,tampon,1.0
2221,welcher,1.0
1954,dyefly,1.0
2402,daughter,0.0
1061,ВЫЕБОН,1.0
3410,amlariga eshak siksin,1.0
1162,showtime,1.0
2793,dicklicker,1.0
1146,penile,1.0
2526,actually,0.0
3842,jewish,1.0
2990,ИДИ (пошёл) НА ХУЙ (в пизду),1.0
332,iblischasiga,0.0
2464,brick,0.0
1056,occur,0.0
1071,everybody,0.0
3227,annual,0.0
3644,fat,1.0
4137,conservative,0.0
3560,Bulbulcha,1.0
1988,fahm-farosatlilik,0.0
1429,kumming,1.0
2694,coat,0.0
1288,boat,0.0
818,nude,1.0
1902,welfare,1.0
1116,ЕБАНЬКО,1.0
4136,authority,0.0
2266,girl on,1.0
816,fatass,1.0
2312,pickaninny,1.0
1289,black,0.0
776,ЧЕРЕЗ ХУЙ КИНУТЬ,1.0
3224,hab,0.0
2242,pot,1.0
1474,following,0.0
2535,vibrator,1.0
3071,sand,0.0
3429,sikishib qoymadilarda,1.0
