,words,outcome
212,battle,0.0
433,mouse,0.0
1132,might,0.0
1849,meat,0.0
1937,абайкалье,0.0
2396,фа-диез-мажорный,0.0
767,shoxalak,0.0
1359,occupy,0.0
2099,fahm-farosatli,0.0
785,minor,0.0
18,do,0.0
440,committee,0.0
2124,blanket,0.0
642,battery,0.0
1303,citizen,0.0
2112,begin,0.0
565,мыслящий(ся),0.0
76,complaint,0.0
461,Alloh,0.0
672,African,0.0
2077,Иванушка-дурачок,0.0
1453,кутузовский,0.0
1720,widespread,0.0
168,jabralilar,0.0
598,will,0.0
1466,журавлик,0.0
1232,invite,0.0
965,абазины,0.0
219,царство-госу,0.0
620,bathroom,0.0
1987,drag,0.0
1175,car,0.0
303,uzilish,0.0
1772,door,0.0
944,sufficient,0.0
2152,забалластировать,0.0
581,segment,0.0
1041,life,0.0
821,абазинец,0.0
1539,foreign,0.0
807,fabrikant,0.0
1382,абазинский,0.0
1888,talafot,0.0
368,childhood,0.0
231,quickly,0.0
891,training,0.0
135,behavior,0.0
25,dark,0.0
2233,heavy,0.0
834,expect,0.0
1401,argument,0.0
464,African-American,0.0
1001,паддок,0.0
192,strange,0.0
289,closer,0.0
1433,юдофоб,0.0
630,йодовый,0.0
1454,suzdirtish,0.0
1736,ad,0.0
907,падепати,0.0
1299,gabbroli,0.0
1550,магнитофон,0.0
128,borrow,0.0
2018,contribution,0.0
1523,электромоби́ль,0.0
2001,халькопирит,0.0
926,involve,0.0
233,immediately,0.0
817,работаться,0.0
307,lover,0.0
1668,marriage,0.0
1621,resident,0.0
383,grass,0.0
1281,contrast,0.0
2399,reason,0.0
2226,black,0.0
862,fun,0.0
406,us,0.0
177,space,0.0
426,йодисто-водородный,0.0
2295,increasing,0.0
610,type,0.0
1133,bowl,0.0
184,норд-норд-ост,0.0
764,increasingly,0.0
1302,тре́нинг,0.0
2123,provider,0.0
1486,норилец,0.0
298,run,0.0
964,assumption,0.0
819,edifikatorlar,0.0
2395,dog,0.0
2134,helpful,0.0
1351,expectation,0.0
2118,абажуродержатель,0.0
1121,халхин-гольский,0.0
178,Soviet,0.0
1266,think,0.0
324,forth,0.0
881,nothing,0.0
962,self,0.0
1347,чирок,0.0
1137,army,0.0
118,house,0.0
1957,жулябия,0.0
2249,kalvachcha,0.0
281,fahm,0.0
883,bring,0.0
670,effect,0.0
1653,sabo,0.0
527,егермейстер,0.0
1650,seed,0.0
1735,shangrayish,0.0
913,sue,0.0
1199,pan,0.0
841,charge,0.0
1315,nation,0.0
2374,mail,0.0
1864,ancient,0.0
366,язвительный,0.0
1228,cat,0.0
1370,yet,0.0
43,essential,0.0
2064,commitment,0.0
1362,transfer,0.0
1750,убаюкивающийся,0.0
203,small,0.0
1493,ship,0.0
174,huge,0.0
420,Irish,0.0
900,efemer,0.0
120,winner,0.0
283,nadomat,0.0
1749,turn,0.0
1044,cool,0.0
654,ошалеть,0.0
1322,царствие,0.0
1413,recipe,0.0
518,city,0.0
1005,list,0.0
647,iboli,0.0
275,смартфо́н,0.0
798,image,0.0
693,Вега,0.0
360,particular,0.0
1452,скейт,0.0
2046,inside,0.0
1244,хе́йтер,0.0
1934,orange,0.0
457,naked,0.0
1766,metallmaslar,0.0
856,денатурировать,0.0
1404,successfully,0.0
1744,divide,0.0
286,but,0.0
2391,nonetheless,0.0
1004,bilimsizlik,0.0
729,slip,0.0
423,евхаристия,0.0
1647,federal,0.0
2174,ёжащийся,0.0
1444,transportation,0.0
2338,assistant,0.0
65,global,0.0
1869,faeton,0.0
2344,cholesterol,0.0
1844,invest,0.0
2194,базальтический,0.0
230,lung,0.0
1779,typical,0.0
1723,link,0.0
1161,end,0.0
1838,юдофильский,0.0
1094,contract,0.0
1195,involvement,0.0
374,soyagir,0.0
2185,мытищинцы,0.0
1389,demonstration,0.0
1690,depending,0.0
297,light,0.0
1340,bank,0.0
99,Republican,0.0
677,zog‘an,0.0
700,денверец,0.0
529,assault,0.0
1124,piece,0.0
1100,corporation,0.0
2113,okay,0.0
185,camera,0.0
1264,billion,0.0
2311,убедиться,0.0
2354,say,0.0
756,beautiful,0.0
511,capacity,0.0
1163,consideration,0.0
1034,wrap,0.0
1270,provide,0.0
1812,regulation,0.0
1480,soon,0.0
736,po‘rtaxol,0.0
1000,success,0.0
782,comprehensive,0.0
2188,two,0.0
23,armatura,0.0
1014,actually,0.0
855,convince,0.0
1801,любование,0.0
2297,sorry,0.0
1560,bother,0.0
1809,although,0.0
2217,эвольвента,0.0
1131,щелкун,0.0
311,blastomitsetlar,0.0
351,абаканский,0.0
548,anger,0.0
306,lie,0.0
287,bade,0.0
678,hospital,0.0
1395,fall,0.0
2234,receive,0.0
1090,assalomu alaykum,0.0
2025,ёлки-палки,0.0
1138,mission,0.0
643,German,0.0
1381,old,0.0
886,ground,0.0
2329,boat,0.0
1872,абажурный,0.0
13,shu'ba,0.0
1279,ourselves,0.0
514,era,0.0
409,sandiq,0.0
1730,muttasil,0.0
313,convention,0.0
