,words,outcome
7,onalarini ske,1
286,kappak,1
77,sikishaman,1
114,ombosh,1
239,amsikar,1
145,tashaqbosh,1
84,shit,1
181,xuyela,1
230,Yeban,1
300,e kalanga,1
198,amhor,1
195,jossalar,1
210,qotaq,1
224,Ko't,1
158,zaebalslar,1
126,Xoromdan bogan,1
109,yimirtangi azaman,1
247,Jalab,1
234,Kotizi qisin,1
202,oneyni,1
78,sikishma,1
147,tashobosh,1
59,brazzers,1
118,kotkalla,1
6,hatobosh,1
182,xuy,1
30,foxshalar,1
22,amlar,1
262,Khunasa,1
56,shlyuxa,1
148,hatobosh,1
140,tashaqkalla,1
208,amkalla,1
277,Qutagimny ye,1
203,kot,1
144,Lgbt,1
167,chumolar,1
90,Сука,1
223,Soska,1
66,qosin',1
116,junbosh,1
172,foxshalar,1
250,qotog'im,1
19,zaybalsilar,1
146,tashag'bosh,1
79,mazgayob,1
297,eva elfie,1
287,Oghizga olish,1
72,lox,1
15,zaybalslar,1
10,zayibal,1
273,Kutingga sikay,1
238,latta,1
97,bla,1
68,yeban,1
240,Ayeyni ishak siksin,1
37,huysos,1
16,zaebalslar,1
55,mamaroza,1
154,sikvordin,1
278,Qo'tagimni ye,1
67,dalbayop,1
111,om,1
69,dalban,1
31,fohshalar,1
183,pizdes,1
157,zaybalslar,1
237,aam,1
124,Opti turqingga sike,1
18,kotmisilar,1
258,qotaq ali,1
96,blyaa,1
139,negrbosh,1
132,Xuyyela,1
86,pizdukcha,1
260,Qutobosh,1
152,zayibal,1
125,Gandonbashara,1
261,siktir,1
204,blyaa,1
303,qosin',1
293,transgender,1
175,sokki,1
193,soskalar,1
218,amkalla,1
292,naxxuy,1
129,Ishlatlgan gandon,1
38,xuysos,1
246,Jalap,1
177,tashaqbash,1
143,Gey,1
112,omkalla,1
176,soqqi,1
117,kotbosh,1
285,Kapak,1
279,Qutag'imni ye,1
245,Fohsha,1
185,pizda,1
233,Kotini qis,1
2,Lgbt,1
115,junbashara,1
194,sossi,1
186,jala,1
120,qataqbas,1
222,Eshaksikur,1
267,Manjalaqi,1
127,chumo,1
74,amlatta,1
29,amlariga eshak siksin,1
83,mazgiyob,1
256,pidaraz,1
107,yimirta,1
290,Ablah,1
165,xaromxorlar,1
133,qanjiqbahsara,1
282,Og'zinggya Sikyami,1
228,Eblan,1
65,niima,1
209,kallanga qota'g'im,1
85,fusk you,1
225,Kotbashara,1
159,zaybalsizlar,1
12,sikvordin,1
35,tashaqbash,1
28,sukalar,1
170,sukala,1
142,Bir tomchi yetmay qogan,1
254,Otni qotag'i,1
131,qanjiqcha,1
180,xuysos,1
51,soskalar,1
95,blee,1
219,yiban,1
178,tashoqbosh,1
232,Jalaaab,1
41,pizdes,1
89,qotaqbas,1
229,Yiban,1
136,qanjiqsipat,1
26,yibanla,1
301,zor sokinish boldi lekin,1
141,tashag'kalla,1
211,qotagi',1
0,Bir tomchi yetmay qogan,1
291,maxxuy,1
280,Ogzingya Sikyama,1
100,eva elif,1
192,chortvachchalar,1
265,Boqimni yepsa,1
103,transgenders,1
171,amlariga eshak siksin,1
98,amhor,1
36,tashoqbosh,1
61,onayni emmagur,1
150,zaybal,1
249,og'zinga qotog'im,1
213,sik,1
255,otti qotag'i,1
11,zayebal,1
304,dalbayop,1
200,jalab,1
275,Kutagimni ye,1
27,itdanbogan,1
231,Jalaaap,1
4,tashag'bosh,1
122,qotobosh,1
32,amlariga eshshe siksin,1
220,kotbashara,1
162,xaromilar,1
221,Xorromi,1
266,Kop mozgi sikma,1
138,tashaq,1
62,yoz e amani kotiga sey bla,1
215,sikay,1
135,Qoraxotin yibbani suka,1
128,suka,1
298,amhor,1
8,zaybal,1
70,dabba,1
272,Kutingga sikey,1
64,zor kinish boldi lekin,1
44,jala,1
248,o'siroq,1
156,sikvordilar,1
40,xuy,1
123,qotokalla,1
283,Sikish,1
216,jallab,1
153,zayebal,1
23,xaromxorlar,1
268,Qotoq,1
110,chuk,1
81,suka,1
236,jinni,1
207,lgbt,1
212,dalbayob,1
39,xuyela,1
253,Oneni ski,1
299,yoz e amani kotiga sey bla,1
269,Ambosh,1
199,am,1
14,sikvordilar,1
47,buviyni ami,1
94,blat,1
271,Kutingga ska,1
227,Eban,1
281,Og'zingya Sikyama,1
201,kot,1
161,zaybalsilar,1
43,pizda,1
217,seks,1
190,eneyni ami,1
105,Fohisha,1
53,jossalar,1
1,Gey,1
49,chortlar,1
80,miyyasikar,1
205,geysan,1
34,soqqi,1
263,hunasa,1
91,Ble juda yigilib qobdiyu a,1
52,sossi,1
264,xunas,1
241,Bulbulcha,1
13,skvodrin,1
88,qotobosh,1
166,kotlar,1
302,niima,1
134,qanchiqsifat,1
295,asalxoney,1
243,Foxsha,1
54,jossa,1
50,chortvachchalar,1
174,amlariga eshshe siksin,1
189,buviyni ami,1
306,dalban,1
187,onayni skey,1
169,itdanbogan,1
58,pornhub,1
48,eneyni ami,1
235,ahmoq,1
252,Oneni eshshe siksin,1
21,jalablar,1
160,kotmisilar,1
276,Kutag'imni ye,1
191,chortlar,1
257,Qanjiq,1
149,onalarini ske,1
130,qanjiq,1
151,zaebal,1
99,asalxoney,1
87,pizdyukcha,1
214,sex,1
121,qataqkalla,1
307,dabba,1
20,xaromilar,1
188,onag'ar,1
71,darmaed,1
106,amyaloq,1
270,Kutingga skay,1
102,transgenders,1
